model,task,seed,success,length,reset_hash,prompt,reach,grasp,lift,min_reach_m,max_lift_m
0,D0,9000,0,220,cda352e7ea02da5687eb4f746b963174955af404abc489875195ae14cc674af0,pick up the black bowl from table center and place it on the plate,0,0,0,0.24871550380688895,2.786076397365278e-07
0,D0,9001,0,220,000d8086c3049c124ee92a67574e9d6f146d71be485c159c561dc901c380c5d7,pick up the black bowl from table center and place it on the plate,0,0,0,0.2632598022515942,2.786076397365278e-07
0,D0,9002,0,220,e1396ef19ca740b00012e935c86bb951ceedd0086febf3558c65664867baba87,pick up the black bowl from table center and place it on the plate,0,0,0,0.20417323299786969,2.7860896811837677e-07
0,D0,9003,0,220,bbac12e3b3712b5e27d972cd1a8df5de2499aef29ba2a8bddc4c3d9065ce3cbd,pick up the black bowl from table center and place it on the plate,0,0,0,0.2572939041229168,2.786076398475501e-07
0,D0,9004,0,220,4217789f67f3f135585eff2c6e7e7e757c050be95f5fc3618079017a628bb279,pick up the black bowl from table center and place it on the plate,0,0,0,0.27809936225671755,2.786076397365278e-07
0,D0,9005,0,220,0064a3ba31d7d36cc7b98568e38312a78a2ee6b7df637d8de500b50501a894c2,pick up the black bowl from table center and place it on the plate,0,0,0,0.2361334648823301,2.786076399585724e-07
0,D0,9006,0,220,8b856fe08b53ed0f69ca679f61bf85fd2f2b0a6df689ba6763c2cf74d380acaa,pick up the black bowl from table center and place it on the plate,0,0,0,0.23311904116252255,2.786076398475501e-07
0,D0,9007,0,220,ece28a27e0cdea4f23f0552cfa90d14a90d3f4fe2212542e60df865e5c9aa2f9,pick up the black bowl from table center and place it on the plate,0,0,0,0.21563111995024078,2.786076397365278e-07
0,D0,9008,0,220,729bfc215a54df4bd6a30ed6387bfdb8206a75bd1289d51af9ea677f1b2d5aaf,pick up the black bowl from table center and place it on the plate,0,0,0,0.2716140554845562,2.7951150838312344e-07
0,D0,9009,0,220,b972b58b88a0dc8c343a2fa4ccc2ca9857254418af4b2f9cf867314eca4eab8a,pick up the black bowl from table center and place it on the plate,0,0,0,0.22592432665456608,2.786076397365278e-07
0,D0,9010,0,220,b6d6cd4ef39e11f0df4d5f14a6460260f8af0d17540f340fd611743d00b60457,pick up the black bowl from table center and place it on the plate,0,0,0,0.2304952785293032,2.786076398475501e-07
0,D0,9011,0,220,7aca0b8b247b3edff1114d879b0a3e64eae2976e012ae867c45d1b48244b4e6d,pick up the black bowl from table center and place it on the plate,0,0,0,0.22778246452681986,2.786078243666168e-07
0,D0,9012,0,220,03d04daad25128361ecf4b7600048e4eb61ae26653e23eefac36fe82db182085,pick up the black bowl from table center and place it on the plate,0,0,0,0.253426257761297,2.786076399585724e-07
0,D0,9013,0,220,afb0bb9a3e9eb99d65948c4c5503645f5cf3844227e768d575603159af05126f,pick up the black bowl from table center and place it on the plate,0,0,0,0.25792125423792467,2.786121753306503e-07
0,D0,9014,0,220,839be611de9e3c8f81732e7d0014efc4406528025babf34826ffc8ebc56d1b09,pick up the black bowl from table center and place it on the plate,0,0,0,0.301205073981734,2.786076398475501e-07
0,D0,9015,0,220,f9e93526155e334157e517ef256ceaa680b60b306eaa711d0cde97fd69d4ff6c,pick up the black bowl from table center and place it on the plate,0,0,0,0.22989428596002584,2.786076397365278e-07
0,D0,9016,0,220,b2d874dca424ce3c5b8cc62fa285b432c44fa8ae429fa767b78a134fc0c425f1,pick up the black bowl from table center and place it on the plate,0,0,0,0.23756633767665628,2.786076397365278e-07
0,D0,9017,0,220,1ab5d502113f4721f4e44976f29f665c9c0e3372f78549b54f8e04ebcb1ba5db,pick up the black bowl from table center and place it on the plate,0,0,0,0.23151084778991365,2.786076406247062e-07
0,D0,9018,0,220,c4b2b90535e21008f866db6439ef88c5b120262ce1bcf582affbe0ae911d0fae,pick up the black bowl from table center and place it on the plate,0,0,0,0.2734850005157265,2.786076399585724e-07
0,D0,9019,0,220,0c95b250f4b6108d45f40cf264fe6a3adaf91ea6f8d245f5338573be42b26d14,pick up the black bowl from table center and place it on the plate,0,0,0,0.2574908180268575,2.786076397365278e-07
0,D0,9020,0,220,00decc6f64d3d60e0483b509e18cd2fb76e89dabe9de5b0a037490f514061d63,pick up the black bowl from table center and place it on the plate,0,0,0,0.263235835038256,2.7933809454427916e-07
0,D0,9021,0,220,e6507e5c42593a4d1c2de3ea030650c66aa52ec66377c0ad09504b9f5958763b,pick up the black bowl from table center and place it on the plate,0,0,0,0.2592431389167345,2.786076397365278e-07
0,D0,9022,0,220,75ab3f6956e5b3851e3270bc4a3e22c1f6362a3d12cf7b1092622184ecfb622d,pick up the black bowl from table center and place it on the plate,0,0,0,0.25906253863875633,2.786081271244356e-07
0,D0,9023,0,220,f8012f6bcc54f1da0d16088a0d575467f62b143fca5b3cc39ac2f002b43e455d,pick up the black bowl from table center and place it on the plate,0,0,0,0.26558293307802067,2.786076398475501e-07
0,D0,9024,0,220,2f629c67d6c5d7fa6cfae9ff38fe2849067dada91ff46861cf4752fcae34ea70,pick up the black bowl from table center and place it on the plate,0,0,0,0.2576258475833461,2.786076398475501e-07
0,D0,9025,0,220,5fa8be1166c684fde9b673140eebd54241694051ccf107f0d0cb99ecaa0a0cfb,pick up the black bowl from table center and place it on the plate,0,0,0,0.22785617272286632,2.78608212056497e-07
0,D0,9026,0,220,ccbabcf8079cc42aeb308d3bba96afbf11add66e3ca56a14e3765b87da1098e6,pick up the black bowl from table center and place it on the plate,0,0,0,0.29844584503288796,2.786076399585724e-07
0,D0,9027,0,220,da81a40d0fe36b28a223c0dd2be1216852a6b32a90ef6508283f11f6ba5b0ca2,pick up the black bowl from table center and place it on the plate,0,0,0,0.25045978479421194,2.786085375738878e-07
0,D0,9028,0,220,5e275c597db019875e6f7eaa6221c44457d29d5defc904ffb2aa52f87450db6c,pick up the black bowl from table center and place it on the plate,0,0,0,0.26231405617301645,2.786076397365278e-07
0,D0,9029,0,220,b6e021eb7ad3e768b6b28b65aa373f1deb1f0ce9b5274e7f4ad3f5d740e13756,pick up the black bowl from table center and place it on the plate,0,0,0,0.27851007199035444,2.7861395002215517e-07
0,D0,9030,0,220,6bcf1fb385d46ec0503c85559da533da0feaf154756aa8028a8a46907c7419c8,pick up the black bowl from table center and place it on the plate,0,0,0,0.2182371460470305,2.786076398475501e-07
0,D0,9031,0,220,9f87980700d859f1b5175c93cbb43767c0012c7ccfdcb6de86cc66158765c0b9,pick up the black bowl from table center and place it on the plate,0,0,0,0.23161172723980802,2.786076397365278e-07
0,D0,9032,0,220,e273517e0dcbb53d3c16758c1f586ff3f7d72b99d284e4b060dd46b2a6536728,pick up the black bowl from table center and place it on the plate,0,0,0,0.16877406002686704,2.786076397365278e-07
0,D0,9033,0,220,6af256b83ec84359072946ea2c39a23d2dbb13b58841ba083b7e22828c8651b5,pick up the black bowl from table center and place it on the plate,0,0,0,0.2537780135945552,2.786076397365278e-07
0,D0,9034,0,220,4a321f552d57859a9117fddfc08c43a3aa6fc542d30dc7ba6aa825db1179b3e9,pick up the black bowl from table center and place it on the plate,0,0,0,0.2453926587546661,2.786076398475501e-07
0,D0,9035,0,220,aa3e23cccee4195e458e1502cf47a7984b72fd20a244acd691fc6a13e025e644,pick up the black bowl from table center and place it on the plate,0,0,0,0.2823452192808499,2.786076398475501e-07
0,D0,9036,0,220,bf94848651de0b05b74f4ab46dbf078c63267e2eae44e4ccceb28fb4cd7b770a,pick up the black bowl from table center and place it on the plate,0,0,0,0.2310104772225595,2.786076397365278e-07
0,D0,9037,0,220,fcdffd3e266c5b9aedb7d9b2035f916982a8fe3dc197e713201ba974ab997d19,pick up the black bowl from table center and place it on the plate,0,0,0,0.2504745371150055,2.786076397365278e-07
0,D0,9038,0,220,3888c879dc762cada29c6c6c6f8839ec614a1505fa05899de220efdfc1e8d8ba,pick up the black bowl from table center and place it on the plate,0,0,0,0.22661279502072196,2.786095697482338e-07
0,D0,9039,0,220,a0a0b71631d8529f70a4f538d4d71908a6e832e6a9bf12dc36bda1a61883c233,pick up the black bowl from table center and place it on the plate,0,0,0,0.1990461565121119,2.786076397365278e-07
0,D0,9040,0,220,04a924c3f5bab9d9ec8fa6c4a76a62a6efbe5186563b7b5dcd522c239aa4e24c,pick up the black bowl from table center and place it on the plate,0,0,0,0.24876700910461333,2.786076398475501e-07
0,D0,9041,0,220,1130a5b8637933d25eec1d71a0e5fd45786310d0cad00548b7e2d15856cb5e96,pick up the black bowl from table center and place it on the plate,0,0,0,0.25994562720583736,2.7860764295617457e-07
0,D0,9042,0,220,8eac1c962e40b3a800b8d9c1eb05bf13ba0f0e9eaa254e45059289ef8d93fe85,pick up the black bowl from table center and place it on the plate,0,0,0,0.24827295549310235,2.809967873940167e-07
0,D0,9043,0,220,7c980db2f5ccc2a325e5888e724f0fba1ffc450090d9861baeebe4e4b0268a06,pick up the black bowl from table center and place it on the plate,0,0,0,0.2610408978395595,2.786076397365278e-07
0,D0,9044,0,220,4aa449d6b0d3e190d05267b87e02d523cbdc276254263a54f8d719582ba33830,pick up the black bowl from table center and place it on the plate,0,0,0,0.26834459661290666,2.786076397365278e-07
0,D0,9045,0,220,5043d88c4ba34ace525a341fa4bef10dcda80d77eb068856f75713cba767caed,pick up the black bowl from table center and place it on the plate,0,0,0,0.23575433735758577,2.7860839912907664e-07
0,D0,9046,0,220,9e39a995f661ab187976da2307cf1fcf4385fd4ade3fa107b6e51128dad4d1d4,pick up the black bowl from table center and place it on the plate,0,0,0,0.20543078261695016,2.786076935823445e-07
0,D0,9047,0,220,e8654e4e3980b57b8c1e79cadd0c3cda4c5ea3de76d658fc89f580d039d242c0,pick up the black bowl from table center and place it on the plate,0,0,0,0.2631414022338702,2.786076397365278e-07
0,D0,9048,0,220,a680ad4c663a18aa5318b13aa5cc7bfbca5114eb1c5c0b00586c5048961e9d28,pick up the black bowl from table center and place it on the plate,0,0,0,0.1916363496234444,2.786076397365278e-07
0,D0,9049,0,220,bc4168f670a350e69667cd1b5d4535091f30096df55ee538e8fb1e86abdefdd7,pick up the black bowl from table center and place it on the plate,0,0,0,0.2501428233053559,2.786077532013209e-07
0,D1,9000,0,220,320bd4e69fa585f8535cf271e7d2540a8d6d5af6deedb9b3b969ef2572bfad21,pick up the black bowl next to the plate and place it on the plate,0,0,0,0.14204520965530754,0.009270431854380146
0,D1,9001,0,220,b93e417d8c84f16c04da169170b709563bbb5c10a6a1b65b0bf060f7e1b26f5a,pick up the black bowl next to the plate and place it on the plate,0,0,0,0.12324362909695591,2.786076397365278e-07
0,D1,9002,0,220,c697e1c72b21ca81329358cbe2f17694ec62f7ee14c1ed7d98550092012f4916,pick up the black bowl next to the plate and place it on the plate,0,0,0,0.1442298224191291,3.8543527236534203e-07
0,D1,9003,0,220,060eb6dfd25ba2cb5c88798bb0e163d546def0f5f617de5bdef718a4d9f2ded0,pick up the black bowl next to the plate and place it on the plate,0,0,0,0.22680234952130235,4.5141265048176393e-07
